Job_Title,Company,Location,Summary,Salary
"Java BackEnd - Spring Boot & Microservices Developer
new",Larsen & Toubro Infotech Limited,,"""• Strong Experience in Java8 • Rich Expertise in Java frameworks like Spring MVC, Springboot, Hibernate, RestAPI and Microservices • Knowledge in JavaScript,…",
"Backend Developer (Node.Js)
new",WorkWyse (Komet Media Subsidiary),"Pune, Maharashtra","Integration of user-facing elements developed by front-end developers with server side logic.
In this role you will be assigned as a full time developer for one…","₹3,00,000 - ₹3,50,000 a year"
C++ Software Engineer,Deep Trekker,"Mumbai, Maharashtra",If you are a highly motivated developer who is passionate about developing mobile robots and underwater drones this might be the job for you.,
Sr. Software Developer (Deployment Services),Brinqa,"Bengaluru, Karnataka","We are looking for a well-rounded developer who can think strategically and deliver tactical implementations.
End-to-End Design and Configuration.","₹5,82,729 - ₹16,77,867 a year"
Software Support Engineer,amdocs,,"Every day, billions of transactions, calls and messages that hold the world’s communications fabric together run on systems that Amdocs has helped create.",
"PL/SQL Developer
new",BNP Paribas,,"The opening is for a PL/SQL developer who is able to analyze, design and develop for the upcoming changes to the existing as well as new asset within division.",
"ETL Developer
new",Tanla Solutions,,"Responsible for developing, deploying, monitoring and maintaining ETL Jobs, convert existing SQL scripts into ETL platform and data mining and text analytics.",
"Software Developer (C#.NET)
new",Siemens Technology and Services Private Limited,,"We spend up to 90 percent of our lives in buildings, and we believe that everything people do in life deserves a flawless place to do it.",
"Front End Developer
new",Larsen & Toubro Infotech Limited,,"Experience in Vue,js, HTML5, CSS3, jQuery, Bootstrap, (all mandatory skills).
Experience in making the web pages responsive for all devices.",
Python Based ERP Developer,Uniexperts Ltd,"Ramapurampdur, Tamil Nadu","Full stack developer with knowledge of Python or Java.
Uniexpert's is a Startup Overseas student recruitment firm based in London .","₹17,674 - ₹40,000 a month"
Junior Developer,Perfexion Information Technologies Pvt. Ltd.,,"Coordinate with other developers and software professionals.
Must develop projects on any one technology like Android, JavaScript (Angular, NodeJS, React), Go.",
