Job_Title,Company,Location,Summary,Salary
"TICKETING EXECUTIVE
new",Universal Job Solution,,"Experience: Extensive customer experience in some type of sales, the position is a good starting place to gain the experience needed to the Basic computer and…","₹27,500 - ₹75,000 a year"
"Executive-Quality Control
new",Jubilant Generics Limited,,"The manufacturing location at Mysore is spread over 69 acres and it’s a USFDA approved site engaged in manufacturing of APIs, and caters to the sales worldwide.",
"Part time - Sales & Marketing Executives Asti - Across Citie...
new",Asti Infotech Pvt Ltd.,,"This is an excellent opportunity for all to get a long term revenue too.
We are hiring - Sales and Marketing assistants across larger cities (Mumbai, Delhi,…","₹35,000 a month"
"Sales Executive
new",Global Vipassana Pagoda,,"Experience in retail sale will be an added advantage.
Basic computer skills are a must.
Manage over the Counter sales for books & other merchandise.",
"Senior Sales Executive
new",Digicon Automation PVT. LTD,,"Essential : Field Exp of Selling Industrial Electronic Products.
Preferred : Previous exp of Selling AC Drives / Control Panels.","₹50,000 a month"
"Sales Executive
new",Mouriyan I.A.S Academy,,"The candidate should have positive thoughts and dedication for work.
Job Types: Full-time, Commission, Fresher.
Salary: ₹500.00 per hour.",₹500 an hour
Area Sales Executive for SONITPUR District,Kavach Networks Pvt Ltd,,"Location: All districts of Sonitpur, Assam.
Stipend: Based on the commission and incentive for the 1st 6 months, with the potential to earn more.","₹10,000 a month"
"Senior Sales Executive
new",Digicon Automation PVT. LTD,,"Essential : Field Exp of Selling Industrial Electronic Products.
Preferred : Previous exp of Selling AC Drives / Control Panels.","₹50,000 a month"
"Sales Executive
new",Mouriyan I.A.S Academy,,"The candidate should have positive thoughts and dedication for work.
Job Types: Full-time, Commission, Fresher.
Salary: ₹500.00 per hour.",₹500 an hour
Area Sales Executive for SONITPUR District,Kavach Networks Pvt Ltd,,"Location: All districts of Sonitpur, Assam.
Stipend: Based on the commission and incentive for the 1st 6 months, with the potential to earn more.","₹10,000 a month"
Sales Executive,Qogent Learning Solutions,,"Working with or in high volume sales teams.
Our user-driven online B2C sales model allows us to interact with more users than a traditional local consultancy…",
"Tele Caller Executive
new",Biophlox Global Private Limited,,"Contact businesses or private individuals by telephone in order to solicit sales for services, schedule appointments for one-to-one sales meetings.",
Executive/Senior Executive – Travel Agent Sales,FabHotels,,"Field Mapping and drive sales for Travel Agent across India.
Executive/Senior Executive – Travel Agent Sales.
Relevant Experience: 1-6 Years.",
"Area Sales Manager
new",Sunmicro Industries Limited,,"Along with achieving individual and team target he/she must have some managerial and administrative skill to handle an office and team of TSM, TSE* …","₹40,000 - ₹60,614 a month"
"Sales Executive - Merchandise
new",Hero Moto Corp,,"Result oriented online Media campaigns for online sales.
To holistically drive and manage end to end Omni channel sales including online/e-commerce and offline …",
SR. SALES EXECUTIVE,Genora Infotech,,"Work Experience: Min. 3 years in IT sales.
Job Code: GEN#9-SE.
Traveling for presentation in Goa and across Tier 1 cities in India.",
Agri-Input Sales Executive,Unnati Agri,,"Must have experience in field sales of agriculture goods.
Must have experience in sale of agri-inputs like, fertilizers, pesticides, chemicals, seeds.","₹15,000 - ₹30,000 a month"
Presales Executive - 5 Days Working - Gurgaon,Proptiger.com,,"Filtering the genuine customers and transferring their call to the sales team.
Contacting customers and understanding their requirements i.e., budget, location,…","₹3,25,000 a year"
"Sr. Sales Executive
new",Adisesh Projects,,"Conducting sales call and closing the leads.
Lead management and post sales services to the clients.
Candidate should be enthusiastic to work in the Real estate…","₹25,000 a month"
"Corporate Sales Executive
new",Hotstuffs Pvt Ltd,,"Ensure efficient after sales service to customers in accordance with their business requirements, including information on schedule and other product updates…","₹20,000 - ₹30,000 a month"
Sr. Executive / Executive Sales,Spectra Pipes,,"Achieve sales and receivables targets.
Generate sales/business from existing dealers & distributors.
Location: Namakal, Thanjavur, Nagapatnam, Palakkad, Trissur…",
Executive/Senior Executive Travel Agent Sales,Destinasia,,"Field Mapping and drive sales for Travel Agent across India.
Identifying market movers of TA industry and setting up meetings with them Building a network of…","₹10,000 - ₹25,000 a month"
